Riau,SMP,Laki-laki,130737,5169
Sumatera Barat,SMP,Laki-laki,106483,751
Kalimantan Barat,SMP,Laki-laki,115454,4119
Aceh,SMP,Laki-laki,102013,7672
Nusa Tenggara Barat,SMP,Laki-laki,89163,5937
Bali,SMP,Laki-laki,98574,5286
Kalimantan Timur,SMP,Laki-laki,80655,3669
Papua,SMP,Laki-laki,68069,3125
Jambi,SMP,Laki-laki,62602,3871
Kalimantan Selatan,SMP,Laki-laki,59226,3815
Yogyakarta,SMP,Laki-laki,6631,4296
Sulawesi Tengah,SMP,Laki-laki,62813,3494
Sulawesi Tenggara,SMP,Laki-laki,6444,319
Kalimantan Tengah,SMP,Laki-laki,54553,2464
Sulawesi Utara,SMP,Laki-laki,57373,2366
Maluku,SMP,Laki-laki,48573,3331
Kepulauan Riau,SMP,Laki-laki,46649,2347
Bengkulu,SMP,Laki-laki,44995,1832
Kepulauan Bangka Belitung,SMP,Laki-laki,29786,1946
Sulawesi Barat,SMP,Laki-laki,2838,1964
Maluku Utara,SMP,Laki-laki,306,1221
Papua Barat,SMP,Laki-laki,2483,1011
Gorontalo,SMP,Laki-laki,23685,1378
Kalimantan Utara,SMP,Laki-laki,16234,1031
Luar Negeri,SMP,Laki-laki,2535,147
Jawa Barat,SMA,Perempuan,396392,20023
Jawa Timur,SMA,Perempuan,30135,1651
Jawa Tengah,SMA,Perempuan,255066,12885
Sumatera Utara,SMA,Perempuan,205079,14366
Banten,SMA,Perempuan,103558,8757
Sulawesi Selatan,SMA,Perempuan,126847,8985
Sumatera Selatan,SMA,Perempuan,110889,5643
Jakarta,SMA,Perempuan,87826,6857
Lampung,SMA,Perempuan,842,7475
Nusa Tenggara Timur,SMA,Perempuan,10598,9881
Riau,SMA,Perempuan,86183,7578
Sumatera Barat,SMA,Perempuan,84427,6555
Kalimantan Barat,SMA,Perempuan,67826,8242
Aceh,SMA,Perempuan,68872,4324
Nusa Tenggara Barat,SMA,Perempuan,52204,416
Bali,SMA,Perempuan,44881,2665
Kalimantan Timur,SMA,Perempuan,41701,3649
Papua,SMA,Perempuan,30793,2748
Jambi,SMA,Perempuan,41147,2705
Kalimantan Selatan,SMA,Perempuan,35756,2927
Yogyakarta,SMA,Perempuan,32487,3784
Sulawesi Tengah,SMA,Perempuan,4141,257
Sulawesi Tenggara,SMA,Perempuan,48846,2906
Kalimantan Tengah,SMA,Perempuan,31118,2862
Sulawesi Utara,SMA,Perempuan,32599,3986
Maluku,SMA,Perempuan,35573,2501
Kepulauan Riau,SMA,Perempuan,25829,2507
Bengkulu,SMA,Perempuan,2696,2062
Kepulauan Bangka Belitung,SMA,Perempuan,15677,1169
Sulawesi Barat,SMA,Perempuan,16734,1923
Maluku Utara,SMA,Perempuan,20286,978
Papua Barat,SMA,Perempuan,13706,1254
Gorontalo,SMA,Perempuan,16938,1363
Kalimantan Utara,SMA,Perempuan,8861,730
Luar Negeri,SMA,Perempuan,362,53
Jawa Barat,SMA,Laki-laki,313877,16305
Jawa Timur,SMA,Laki-laki,232365,14463
Jawa Tengah,SMA,Laki-laki,154003,1086
Sumatera Utara,SMA,Laki-laki,16523,7875
Banten,SMA,Laki-laki,87023,5421
Sulawesi Selatan,SMA,Laki-laki,100055,4351
Sumatera Selatan,SMA,Laki-laki,93488,4718
Jakarta,SMA,Laki-laki,76077,4068
Lampung,SMA,Laki-laki,66801,6137
Nusa Tenggara Timur,SMA,Laki-laki,85565,3827
Riau,SMA,Laki-laki,69707,3274
Sumatera Barat,SMA,Laki-laki,61688,4678
Kalimantan Barat,SMA,Laki-laki,59244,2743
Aceh,SMA,Laki-laki,59652,413
Nusa Tenggara Barat,SMA,Laki-laki,48113,3179
Bali,SMA,Laki-laki,44551,2815
Kalimantan Timur,SMA,Laki-laki,33479,2057
Papua,SMA,Laki-laki,33762,1764
Jambi,SMA,Laki-laki,35431,1894
Kalimantan Selatan,SMA,Laki-laki,31514,2104
Yogyakarta,SMA,Laki-laki,23496,288
Sulawesi Tengah,SMA,Laki-laki,3485,1828
Sulawesi Tenggara,SMA,Laki-laki,43144,173
Kalimantan Tengah,SMA,Laki-laki,27918,1587
Sulawesi Utara,SMA,Laki-laki,2976,1846
Maluku,SMA,Laki-laki,34283,1785
Kepulauan Riau,SMA,Laki-laki,20592,139
Bengkulu,SMA,Laki-laki,22087,1081
Kepulauan Bangka Belitung,SMA,Laki-laki,12592,829
Sulawesi Barat,SMA,Laki-laki,13341,1315
Maluku Utara,SMA,Laki-laki,19427,672
Papua Barat,SMA,Laki-laki,13445,675
Gorontalo,SMA,Laki-laki,12971,827
Kalimantan Utara,SMA,Laki-laki,8095,575
Luar Negeri,SMA,Laki-laki,316,67
Jawa Barat,SMK,Perempuan,468224,25975
Jawa Timur,SMK,Perempuan,307801,20842
Jawa Tengah,SMK,Perempuan,324167,21133
Sumatera Utara,SMK,Perempuan,13026,10969
Banten,SMK,Perempuan,112242,5657
Sulawesi Selatan,SMK,Perempuan,55886,4227
Sumatera Selatan,SMK,Perempuan,50996,6072
Jakarta,SMK,Perempuan,104774,539
Lampung,SMK,Perempuan,62578,3503
Nusa Tenggara Timur,SMK,Perempuan,41098,3955
Riau,SMK,Perempuan,40945,4677
Sumatera Barat,SMK,Perempuan,37264,6234
Kalimantan Barat,SMK,Perempuan,3376,4844
Aceh,SMK,Perempuan,21751,3092
Nusa Tenggara Barat,SMK,Perempuan,29878,217
Bali,SMK,Perempuan,44899,2887
Kalimantan Timur,SMK,Perempuan,32551,2413
Papua,SMK,Perempuan,13063,2136
Jambi,SMK,Perempuan,22262,2615
Kalimantan Selatan,SMK,Perempuan,2475,2101
Yogyakarta,SMK,Perempuan,37619,1817
Sulawesi Tengah,SMK,Perempuan,20888,3506
Sulawesi Tenggara,SMK,Perempuan,14701,1683
Kalimantan Tengah,SMK,Perempuan,15345,2288
Sulawesi Utara,SMK,Perempuan,23891,1456
Maluku,SMK,Perempuan,9457,1539
Kepulauan Riau,SMK,Perempuan,12828,1612
Bengkulu,SMK,Perempuan,12085,1245
Kepulauan Bangka Belitung,SMK,Perempuan,11368,1208
Sulawesi Barat,SMK,Perempuan,13015,966
Maluku Utara,SMK,Perempuan,8029,871
Papua Barat,SMK,Perempuan,6024,1111
Gorontalo,SMK,Perempuan,8787,696
Kalimantan Utara,SMK,Perempuan,4328,433
Luar Negeri,SMK,Perempuan,69,2
Jawa Barat,SMK,Laki-laki,62574,27284
Jawa Timur,SMK,Laki-laki,44943,21049
Jawa Tengah,SMK,Laki-laki,453897,22355
Sumatera Utara,SMK,Laki-laki,176336,8071
Banten,SMK,Laki-laki,143518,3906
Sulawesi Selatan,SMK,Laki-laki,7695,2632
Sumatera Selatan,SMK,Laki-laki,69442,5814
Jakarta,SMK,Laki-laki,11759,4664
Lampung,SMK,Laki-laki,83136,3351
Nusa Tenggara Timur,SMK,Laki-laki,49308,2234
Riau,SMK,Laki-laki,59217,2847
Sumatera Barat,SMK,Laki-laki,5241,5238
Kalimantan Barat,SMK,Laki-laki,39674,2511
Aceh,SMK,Laki-laki,31821,3473
